index;name;pop;avg_age
2101;Benešov;60380;42.0
2102;Beroun;63843;40.6
2103;Brandýs nad Labem-Stará Boleslav;110899;38.4
2104;Čáslav;25652;42.7
2105;Černošice;146004;39.0
2106;Český Brod;21294;40.1
2107;Dobříš;22791;41.4
2108;Hořovice;29883;42.5
2109;Kladno;124891;41.8
2110;Kolín;82678;42.2
2111;Kralupy nad Vltavou;32001;41.2
2112;Kutná Hora;49718;43.2
2113;Lysá nad Labem;26461;37.4
2114;Mělník;44316;41.7
2115;Mladá Boleslav;111466;41.5
2116;Mnichovo Hradiště;17670;41.8
2117;Neratovice;32035;41.1
2118;Nymburk;39949;42.4
2119;Poděbrady;31095;43.3
2120;Příbram;69944;43.1
2121;Rakovník;55565;42.8
2122;Říčany;70046;39.0
2123;Sedlčany;22043;43.2
2124;Slaný;40380;41.7
2125;Vlašim;25885;43.1
2126;Votice;12443;42.8
3101;Blatná;13661;43.9
3102;České Budějovice;161376;42.0
3103;Český Krumlov;41707;41.6
3104;Dačice;18857;43.3
3105;Jindřichův Hradec;47076;43.1
3106;Kaplice;19674;41.2
3107;Milevsko;18187;45.0
3108;Písek;53121;43.0
3109;Prachatice;33457;42.1
3110;Soběslav;21914;43.8
3111;Strakonice;45305;42.9
3112;Tábor;80583;43.2
3113;Trhové Sviny;19120;41.7
3114;Třeboň;24720;43.9
3115;Týn nad Vltavou;14089;41.8
3116;Vimperk;17514;42.8
3117;Vodňany;11772;42.2
3201;Blovice;12157;42.9
3202;Domažlice;40662;42.7
3203;Horažďovice;11608;44.6
3204;Horšovský Týn;14688;42.0
3205;Klatovy;50564;43.3
3206;Kralovice;22343;43.3
3207;Nepomuk;11563;44.1
3208;Nýřany;56935;41.3
3209;Plzeň;191599;43.0
3210;Přeštice;22586;42.4
3211;Rokycany;48966;42.8
3212;Stod;23250;41.9
3213;Stříbro;17050;42.2
3214;Sušice;24164;44.2
3215;Tachov;36537;41.5
4101;Aš;17655;41.5
4102;Cheb;49957;42.3
4103;Karlovy Vary;87166;43.9
4104;Kraslice;13153;42.8
4105;Mariánské Lázně;23928;44.1
4106;Ostrov;27848;42.8
4107;Sokolov;75189;42.0
4201;Bílina;22542;41.3
4202;Děčín;77031;42.5
4203;Chomutov;81640;41.4
4204;Kadaň;43111;41.7
4205;Litoměřice;59118;42.1
